id|title
tt0086879|Amadeus
tt0086960|Beverly Hills Cop
tt0086979|Blood Simple.
tt0087182|Dune
tt0087277|Footloose
tt0087332|Ghostbusters
tt0087363|Gremlins
tt0087469|Indiana Jones and the Temple of Doom
tt0087538|The Karate Kid
tt0087544|Nausicaä of the Valley of the Wind
tt0087800|A Nightmare on Elm Street
tt0087843|Once Upon a Time in America
tt0087884|Paris, Texas
tt0087928|Police Academy
tt0088011|Romancing the Stone
tt0088128|Sixteen Candles
tt0088170|Star Trek III: The Search for Spock
tt0088247|The Terminator
tt0088258|This Is Spinal Tap
tt0088323|The NeverEnding Story
tt0088763|Back to the Future
tt0088846|Brazil
tt0088847|The Breakfast Club
tt0088930|Clue
tt0088939|The Color Purple
tt0088944|Commando
tt0089218|The Goonies
tt0089755|Out of Africa
tt0089881|Ran
tt0089927|Rocky IV
tt0090305|Weird Science
tt0090329|Witness
tt0090555|Crocodile Dundee
tt0090605|Aliens
tt0090728|Big Trouble in Little China
tt0090756|Blue Velvet
tt0090863|The Color of Money
tt0091042|Ferris Bueller's Day Off
tt0091064|The Fly
tt0091203|Highlander
tt0091369|Labyrinth
tt0091605|The Name of the Rose
tt0091763|Platoon
tt0091790|Pretty in Pink
tt0092005|Stand by Me
tt0092007|Star Trek IV: The Voyage Home
tt0092067|Castle in the Sky
tt0092099|Top Gun
tt0092563|Angel Heart
tt0092644|Beverly Hills Cop II
tt0092675|Bloodsport
tt0092890|Dirty Dancing
tt0092965|Empire of the Sun
tt0092991|Evil Dead II
tt0093010|Fatal Attraction
tt0093058|Full Metal Jacket
tt0093105|Good Morning, Vietnam
tt0093177|Hellraiser
tt0093389|The Last Emperor
tt0093409|Lethal Weapon
tt0093428|The Living Daylights
tt0093437|The Lost Boys
tt0093748|Planes, Trains & Automobiles
tt0093773|Predator
tt0093779|The Princess Bride
tt0093822|Raising Arizona
tt0093870|RoboCop
tt0093894|The Running Man
tt0094012|Spaceballs
tt0094226|The Untouchables
tt0094291|Wall Street
tt0094625|Akira
tt0094721|Beetlejuice
tt0094737|Big
tt0094862|Child's Play
tt0094898|Coming to America
tt0095016|Die Hard
tt0095159|A Fish Called Wanda
tt0095327|Grave of the Fireflies
tt0095489|The Land Before Time
tt0095631|Midnight Run
tt0095647|Mississippi Burning
tt0095705|The Naked Gun: From the Files of Police Squad!
tt0095765|Cinema Paradiso
tt0095953|Rain Man
tt0096061|Scrooged
tt0096256|They Live
tt0096283|My Neighbor Totoro
tt0096438|Who Framed Roger Rabbit
tt0096446|Willow
tt0096754|The Abyss
tt0096874|Back to the Future Part II
tt0096895|Batman
tt0096928|Bill & Ted's Excellent Adventure
tt0096969|Born on the Fourth of July
tt0097165|Dead Poets Society
tt0097216|Do the Right Thing
tt0097239|Driving Miss Daisy
tt0097351|Field of Dreams
tt0097428|Ghostbusters II
tt0097441|Glory
tt0097493|Heathers
tt0097576|Indiana Jones and the Last Crusade
tt0097733|Lethal Weapon 2
tt0097742|Licence to Kill
tt0097757|The Little Mermaid
tt0097814|Kiki's Delivery Service
tt0097958|National Lampoon's Christmas Vacation
tt0098084|Pet Sematary
tt0098258|Say Anything...
tt0098554|Uncle Buck
tt0098635|When Harry Met Sally...
tt0099077|Awakenings
tt0099088|Back to the Future Part III
tt0099348|Dances with Wolves
tt0099423|Die Hard 2
tt0099487|Edward Scissorhands
tt0099582|Flatliners
tt0099653|Ghost
tt0099674|The Godfather: Part III
tt0099685|Goodfellas
tt0099785|Home Alone
tt0099810|The Hunt for Red October
tt0099871|Jacob's Ladder
tt0100150|Miller's Crossing
tt0100157|Misery
tt0100263|La Femme Nikita
tt0100405|Pretty Woman
tt0100758|Teenage Mutant Ninja Turtles
tt0100802|Total Recall
tt0100814|Tremors
tt0100935|Wild at Heart
tt0101272|The Addams Family
tt0101393|Backdraft
tt0101410|Barton Fink
tt0101414|Beauty and the Beast
tt0101507|Boyz n the Hood
tt0101540|Cape Fear
tt0101700|Delicatessen
tt0101761|The Doors
tt0101862|Father of the Bride
tt0101889|The Fisher King
tt0102057|Hook
tt0102059|Hot Shots!
tt0102138|JFK
tt0102266|The Last Boy Scout
tt0102492|My Girl
tt0102510|The Naked Gun 2½: The Smell of Fear
tt0102685|Point Break
tt0102798|Robin Hood: Prince of Thieves
tt0102926|The Silence of the Lambs
tt0102975|Star Trek VI: The Undiscovered Country
tt0103064|Terminator 2
tt0103074|Thelma & Louise
tt0103639|Aladdin
tt0103772|Basic Instinct
tt0103776|Batman Returns
tt0103873|Dead Alive
tt0103874|Bram Stoker's Dracula
tt0104070|Death Becomes Her
tt0104257|A Few Good Men
tt0104348|Glengarry Glen Ross
tt0104431|Home Alone 2: Lost in New York
tt0104691|The Last of the Mohicans
tt0104694|A League of Their Own
tt0104714|Lethal Weapon 3
tt0104797|Malcolm X
tt0104952|My Cousin Vinny
tt0105112|Patriot Games
tt0105236|Reservoir Dogs
tt0105323|Scent of a Woman
tt0105665|Twin Peaks: Fire Walk with Me
tt0105690|Under Siege
tt0105695|Unforgiven
tt0105793|Wayne's World
tt0105812|White Men Can't Jump
tt0106220|Addams Family Values
tt0106308|Army of Darkness
tt0106489|A Bronx Tale
tt0106519|Carlito's Way
tt0106611|Cool Runnings
tt0106677|Dazed and Confused
tt0106697|Demolition Man
tt0106856|Falling Down
tt0106918|The Firm
tt0106977|The Fugitive
tt0107048|Groundhog Day
