nid|name|birth|titles|profession
nm0000002|Lauren Bacall|1924||actress,soundtrack
nm0000008|Marlon Brando|1924||actor,soundtrack,director
nm0000056|Paul Newman|1925|tt0090863|actor,producer,director
nm0000090|Armin Mueller-Stahl|1930|tt0963178 tt0808151 tt0119174|actor,director,writer
nm0000092|John Cleese|1939|tt0095159|actor,writer,producer
nm0000093|Brad Pitt|1963|tt0816711 tt1210166 tt0356910 tt0114746|actor,producer,soundtrack
nm0000095|Woody Allen|1935||writer,director,actor
nm0000096|Gillian Anderson|1968|tt0455590|actress,producer,soundtrack
nm0000098|Jennifer Aniston|1969|tt0151804 tt1723121 tt0129167|actress,producer,soundtrack
nm0000099|Patricia Arquette|1968|tt1065073 tt0108399|actress,director,soundtrack
nm0000101|Dan Aykroyd|1952|tt0097428 tt0087332|writer,actor,producer
nm0000102|Kevin Bacon|1958|tt0087277 tt0327056|actor,producer,soundtrack
nm0000104|Antonio Banderas|1960|tt0120657 tt0112851 tt1189073 tt0120746|actor,soundtrack,producer
nm0000106|Drew Barrymore|1975|tt0120631 tt0343660|producer,actress,soundtrack
nm0000107|Kim Basinger|1953|tt0096895 tt0337921 tt0119488|actress,soundtrack,producer
nm0000110|Kenneth Branagh|1960|tt1655420|actor,producer,director
nm0000111|Matthew Broderick|1962|tt0110357 tt0091042 tt0097441|actor,soundtrack,director
nm0000112|Pierce Brosnan|1953|tt0120347 tt0113189|actor,producer,soundtrack
nm0000113|Sandra Bullock|1964|tt0111257 tt1041829 tt1454468|producer,actress,soundtrack
nm0000114|Steve Buscemi|1957|tt0198781 tt0118715 tt0105236 tt0116282|actor,director,producer
nm0000115|Nicolas Cage|1964|tt0113627 tt0117500 tt0119094|actor,producer,soundtrack
nm0000117|Neve Campbell|1973|tt0117571 tt0120890|actress,producer,soundtrack
nm0000119|Tia Carrere|1967|tt0105793 tt0275847 tt0111503|actress,soundtrack,producer
nm0000120|Jim Carrey|1962|tt0120382 tt0109040 tt0338013 tt0315327|actor,writer,producer
nm0000121|Phoebe Cates|1963|tt0087363|actress,soundtrack
nm0000123|George Clooney|1961|tt1033575 tt1124035 tt1193138 tt0365737|actor,producer,director
nm0000124|Jennifer Connelly|1970|tt0180093 tt0268978 tt0315983|actress
nm0000125|Sean Connery|1930|tt0097576 tt0099810 tt0117500|actor,producer,soundtrack
nm0000126|Kevin Costner|1955|tt0099348 tt0102798|actor,producer,soundtrack
nm0000128|Russell Crowe|1964|tt0172495 tt1707386 tt0268978 tt0119488|actor,soundtrack,producer
nm0000129|Tom Cruise|1962|tt0116695 tt0092099 tt0181689 tt0325710|actor,producer,soundtrack
nm0000130|Jamie Lee Curtis|1958|tt0095159 tt0111503|actress,director,producer
nm0000131|John Cusack|1966|tt0120601 tt0146882 tt0450385|actor,producer,writer
nm0000132|Claire Danes|1979|tt0117509|actress,producer,soundtrack
nm0000133|Geena Davis|1956|tt0103074 tt0091064 tt0116908 tt0104694|actress,producer,soundtrack
nm0000134|Robert De Niro|1943|tt0212338 tt0101540|actor,producer,soundtrack
nm0000136|Johnny Depp|1963|tt0325980 tt0383574 tt0408236 tt0449088|actor,producer,soundtrack
nm0000137|Bo Derek|1956|tt0114694|actress,producer,miscellaneous
nm0000138|Leonardo DiCaprio|1974|tt0993846 tt0407887 tt0120338 tt1375666|actor,producer,writer
nm0000139|Cameron Diaz|1972|tt0259711 tt0129387|actress,producer,soundtrack
nm0000140|Michael Douglas|1944|tt0103772 tt0106856 tt0119174 tt0478970|actor,producer,soundtrack
