id|nid|role
tt0086879|nm0000719|actor
tt0086879|nm0001371|actor
tt0086879|nm0000931|actress
tt0086879|nm0234541|actor
tt0086960|nm0000552|actor
tt0086960|nm0001662|actor
tt0086960|nm0039226|actor
tt0086960|nm0002060|actress
tt0086979|nm0315288|actor
tt0086979|nm0000531|actress
tt0086979|nm0000445|actor
tt0086979|nm0001826|actor
tt0087182|nm0001492|actor
tt0087182|nm0000515|actress
tt0087182|nm0000768|actress
tt0087182|nm0162361|actor
tt0087277|nm0000102|actor
tt0087277|nm0001742|actress
tt0087277|nm0001475|actor
tt0087277|nm0001848|actress
tt0087332|nm0000195|actor
tt0087332|nm0000101|actor
tt0087332|nm0000244|actress
tt0087332|nm0000601|actor
tt0087363|nm0002090|actor
tt0087363|nm0000121|actress
tt0087363|nm0001924|actor
tt0087363|nm0521829|actor
tt0087469|nm0000148|actor
tt0087469|nm0001009|actress
tt0087469|nm0702841|actor
tt0087469|nm0700869|actor
tt0087538|nm0001494|actor
tt0087538|nm0001552|actor
tt0087538|nm0000223|actress
tt0087538|nm0184392|actor
tt0087544|nm0793585|actress
tt0087544|nm0875332|actor
tt0087544|nm0477449|actress
tt0087544|nm0623214|actor
tt0087800|nm0000486|actress
tt0087800|nm0000136|actor
tt0087800|nm0000387|actor
tt0087800|nm0768334|actor
tt0087843|nm0000134|actor
tt0087843|nm0000249|actor
tt0087843|nm0001527|actress
tt0087843|nm0000582|actor
tt0087884|nm0001765|actor
tt0087884|nm0000176|actress
tt0087884|nm0001777|actor
tt0087884|nm0167467|actress
tt0087928|nm0000430|actor
tt0087928|nm0047265|actor
tt0087928|nm0000326|actress
tt0087928|nm0807571|actor
tt0088011|nm0000140|actor
tt0088011|nm0000678|actress
tt0088011|nm0000362|actor
tt0088011|nm0635649|actor
tt0088128|nm0000208|actress
tt0088128|nm0001309|actor
tt0088128|nm0377888|actor
tt0088128|nm0001706|actor
tt0088170|nm0000638|actor
tt0088170|nm0000559|actor
tt0088170|nm0001420|actor
tt0088170|nm0001150|actor
tt0088247|nm0000216|actor
tt0088247|nm0000157|actress
tt0088247|nm0000299|actor
tt0088247|nm0934902|actor
tt0088258|nm0001661|actor
tt0088258|nm0571106|actor
tt0088258|nm0001302|actor
tt0088258|nm0834571|actress
tt0088323|nm0000441|actor
tt0088323|nm0646768|actor
tt0088323|nm0000660|actress
tt0088323|nm0574468|actor
tt0088763|nm0000150|actor
tt0088763|nm0000502|actor
tt0088763|nm0000670|actress
tt0088763|nm0000417|actor
tt0088846|nm0000596|actor
tt0088846|nm0002114|actress
tt0088846|nm0000134|actor
tt0088846|nm0001340|actress
tt0088847|nm0000389|actor
tt0088847|nm0000555|actor
tt0088847|nm0000208|actress
tt0088847|nm0000639|actress
tt0088930|nm0107281|actress
tt0088930|nm0000347|actor
tt0088930|nm0001404|actress
tt0088930|nm0000502|actor
tt0088939|nm0000418|actor
tt0088939|nm0000155|actress
tt0088939|nm0001856|actress
tt0088939|nm0001923|actress
tt0088944|nm0000216|actor
tt0088944|nm0001044|actress
tt0088944|nm0000445|actor
tt0088944|nm0920460|actor
tt0089218|nm0000276|actor
tt0089218|nm0000982|actor
tt0089218|nm0169480|actor
tt0089218|nm0000397|actor
tt0089755|nm0000658|actress
tt0089755|nm0000602|actor
tt0089755|nm0001970|actor
tt0089755|nm0457655|actor
tt0089881|nm0619938|actor
tt0089881|nm0855417|actor
tt0089881|nm0628704|actor
tt0089881|nm0753480|actor
tt0089927|nm0000230|actor
tt0089927|nm0001735|actress
tt0089927|nm0949350|actor
tt0089927|nm0001835|actor
tt0090305|nm0001309|actor
tt0090305|nm0593819|actor
tt0090305|nm0001456|actress
tt0090305|nm0000200|actor
tt0090329|nm0000148|actor
tt0090329|nm0000534|actress
tt0090329|nm0001305|actor
tt0090329|nm0813977|actor
tt0090555|nm0001357|actor
tt0090555|nm0468957|actress
tt0090555|nm0576851|actor
tt0090555|nm0347858|actor
tt0090605|nm0000244|actress
tt0090605|nm0000299|actor
tt0090605|nm0001343|actress
tt0090605|nm0001663|actor
tt0090728|nm0000621|actor
tt0090728|nm0000326|actress
tt0090728|nm0241748|actor
tt0090728|nm0393222|actor
tt0090756|nm0000618|actress
tt0090756|nm0001492|actor
tt0090756|nm0000454|actor
tt0090756|nm0000368|actress
tt0090863|nm0000056|actor
tt0090863|nm0000129|actor
tt0090863|nm0001512|actress
tt0090863|nm0001726|actress
tt0091042|nm0000111|actor
tt0091042|nm0001688|actor
tt0091042|nm0000214|actress
tt0091042|nm0000470|actor
tt0091064|nm0000156|actor
tt0091064|nm0000133|actress
tt0091064|nm0315288|actor
tt0091064|nm0100205|actress
tt0091203|nm0000483|actor
tt0091203|nm0000125|actor
tt0091203|nm0000317|actor
tt0091203|nm0366509|actress
tt0091369|nm0000309|actor
tt0091369|nm0000124|actress
tt0091369|nm0296614|actor
tt0091369|nm0860712|actress
tt0091605|nm0000125|actor
